YYYYMM,CPI
201309,234.149
201310,233.546
201311,233.069
201312,233.049
201401,233.916
201402,234.781
201403,236.293
201404,237.072
201405,237.9
201406,238.343
201407,238.25
201408,237.852
201409,238.031
201410,237.433
201411,236.151
201412,234.812
201501,233.707
201502,234.722
201503,236.119
201504,236.599
201505,237.805
201506,238.638
201507,238.654
201508,238.316
201509,237.945
201510,237.838
201511,237.336
201512,236.525
201601,236.916
201602,237.111
201603,238.132
201604,239.261
201605,240.236
201606,241.038
201607,240.647
201608,240.853
201609,241.428
201610,241.729
201611,241.353
201612,241.432
201701,242.839
201702,243.603
201703,243.801
201704,244.524
201705,244.733
201706,244.955
201707,244.786
201708,245.519
201709,246.819
201710,246.663
201711,246.669
201712,246.524
201801,247.867
201802,248.991
201803,249.554
201804,250.546
201805,251.588
201806,251.989
201807,252.006
201808,252.146
201809,252.439
201810,252.885
201811,252.038
201812,251.233
201901,251.712
201902,252.776
201903,254.202
201904,255.548
201905,256.092
201906,256.143
201907,256.571
201908,256.558
201909,256.759
201910,257.346
201911,257.208
201912,256.974
202001,257.971
202002,258.678
202003,258.115
202004,256.389
202005,256.394
202006,257.797
202007,259.101
202008,259.918
202009,260.28
202010,260.388
202011,260.229
202012,260.474
202101,261.582
202102,263.014
202103,264.877
202104,267.054
202105,269.195
202106,271.696
202107,273.003
202108,273.567
202109,274.31
202110,276.589
202111,277.948
202112,278.802
202201,281.148
202202,283.716
202203,287.504
202204,289.109
202205,292.296
202206,296.311
202207,296.276
202208,296.171
202209,296.808
202210,298.012
202211,297.711
202212,296.797
202301,299.17
202302,300.84
202303,301.836
202304,303.363
202305,304.127
202306,305.109
202307,305.691
202308,307.026
202309,307.789
202310,307.671
202311,307.051
202312,306.746
202401,308.417
202402,310.326
202403,312.332
202404,313.548
202405,314.069
202406,314.175
202407,314.54
202408,314.796
202409,315.301
202410,315.664
202411,315.493
202412,315.605
202501,317.671
202502,319.082
202503,319.799
202504,320.795
202505,321.465
202506,322.561
202507,323.048
202508,323.976
202509,324.8
202510,324.461
202511,324.122
202512,324.054
